1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
1328.0,0.0,2.0,4,967.0,4.0,383.0,308.0,2.0,1959.0,1328.0,3,16905.0,115.0,0.0,104.0,6,5,1350.0,1959,1959,170000
884.0,0.0,2.0,3,747.0,5.0,0.0,504.0,2.0,1983.0,884.0,4,9180.0,69.0,0.0,0.0,7,5,840.0,1983,1983,144000
938.0,0.0,3.0,3,280.0,2.0,167.0,308.0,1.0,1977.0,938.0,3,9200.0,69.0,0.0,0.0,6,5,938.0,1975,1980,130250
1150.0,0.0,3.0,1,179.0,5.0,465.0,300.0,2.0,1959.0,1150.0,3,7945.0,70.0,0.0,0.0,6,5,1150.0,1959,1959,141000
1752.0,0.0,2.0,1,456.0,6.0,1296.0,576.0,2.0,2005.0,1752.0,5,7658.0,61.0,412.0,82.0,5,9,1752.0,2005,2005,319900
1518.0,631.0,1.0,1,1351.0,6.0,83.0,670.0,2.0,2003.0,2149.0,4,12822.0,48.0,0.0,43.0,5,7,1434.0,2003,2003,239686
1656.0,0.0,3.0,3,24.0,6.0,1632.0,826.0,2.0,2006.0,1656.0,4,11096.0,84.0,0.0,146.0,5,8,1656.0,2006,2006,249700
736.0,716.0,2.0,1,0.0,1.0,736.0,0.0,0.0,1980.0,1452.0,3,4456.0,33.0,0.0,0.0,5,4,736.0,1920,2008,113000
955.0,0.0,3.0,1,763.0,4.0,192.0,386.0,1.0,1966.0,955.0,3,7742.0,66.0,0.0,0.0,7,5,955.0,1966,1966,127000
794.0,676.0,3.0,3,182.0,6.0,612.0,388.0,3.0,1997.0,1470.0,3,13869.0,69.0,0.0,75.0,6,6,794.0,1997,1997,177000
816.0,0.0,3.0,1,0.0,1.0,816.0,528.0,1.0,1985.0,1176.0,3,6240.0,52.0,0.0,0.0,6,6,816.0,1934,1950,114500
816.0,0.0,2.0,4,104.0,2.0,0.0,516.0,1.0,1963.0,816.0,3,8472.0,110.0,0.0,0.0,5,5,816.0,1963,1963,110000
1842.0,0.0,0.0,4,1810.0,6.0,32.0,894.0,3.0,1981.0,1842.0,4,50271.0,68.0,0.0,72.0,5,9,1842.0,1981,1987,385000
1360.0,0.0,3.0,1,384.0,5.0,0.0,572.0,1.0,1962.0,1360.0,3,7134.0,60.0,0.0,50.0,5,5,384.0,1955,1955,130000
1425.0,0.0,3.0,1,490.0,4.0,935.0,576.0,2.0,1964.0,1425.0,3,10175.0,100.0,272.0,0.0,5,6,1425.0,1964,1964,180500
983.0,756.0,3.0,1,649.0,6.0,321.0,480.0,3.0,1999.0,1739.0,4,2645.0,24.0,456.0,0.0,5,8,970.0,1999,2000,172500
860.0,0.0,3.0,1,0.0,1.0,860.0,565.0,2.0,2004.0,1720.0,4,11645.0,89.0,0.0,70.0,5,7,860.0,2004,2004,196500
1426.0,1519.0,3.0,4,0.0,1.0,1410.0,641.0,3.0,2006.0,2945.0,4,13682.0,66.0,1031.0,0.0,5,10,1410.0,2006,2006,438780
780.0,0.0,2.0,3,632.0,5.0,148.0,352.0,1.0,1973.0,780.0,3,7200.0,60.0,0.0,0.0,7,5,780.0,1972,1972,124900
1158.0,0.0,3.0,1,941.0,5.0,217.0,576.0,1.0,2006.0,1158.0,4,13072.0,63.0,0.0,50.0,5,6,1158.0,2004,2004,158000
581.0,530.0,3.0,1,0.0,1.0,530.0,288.0,1.0,1935.0,1111.0,2,7200.0,60.0,0.0,0.0,7,5,530.0,1920,1996,101000
1370.0,0.0,2.0,2,24.0,6.0,1346.0,484.0,2.0,2006.0,1370.0,4,6442.0,44.0,178.0,49.0,5,8,1370.0,2006,2006,202500
902.0,808.0,3.0,1,0.0,1.0,576.0,480.0,1.0,1990.0,1710.0,3,10300.0,50.0,0.0,11.0,6,7,576.0,1921,1950,140000
1057.0,977.0,3.0,1,739.0,6.0,318.0,645.0,2.0,1998.0,2034.0,4,9375.0,69.0,573.0,36.0,5,7,1057.0,1997,1998,219500
1143.0,1330.0,4.0,3,0.0,1.0,1143.0,852.0,2.0,2004.0,2473.0,4,9591.0,76.0,344.0,151.0,5,8,1143.0,2004,2005,317000
2207.0,0.0,3.0,4,912.0,6.0,1035.0,576.0,2.0,1970.0,2207.0,3,19900.0,69.0,287.0,0.0,5,7,1947.0,1970,1989,180000
1479.0,0.0,3.0,3,1013.0,6.0,440.0,558.0,2.0,2003.0,1479.0,4,10665.0,72.0,167.0,29.0,5,7,1453.0,2003,2003,226000
747.0,0.0,2.0,1,0.0,1.0,747.0,220.0,1.0,1945.0,747.0,3,4608.0,47.0,0.0,0.0,6,4,747.0,1945,1950,80000
1304.0,983.0,3.0,1,603.0,4.0,701.0,667.0,3.0,1953.0,2287.0,3,15593.0,81.0,0.0,21.0,4,7,1304.0,1953,1953,225000
2223.0,0.0,3.0,4,1880.0,5.0,343.0,516.0,3.0,1973.0,2223.0,3,13651.0,95.0,1115.0,0.0,6,7,2223.0,1973,1973,244000
845.0,0.0,2.0,1,565.0,5.0,280.0,360.0,1.0,1987.0,845.0,3,7599.0,69.0,0.0,0.0,6,4,845.0,1982,2006,129500
885.0,833.0,3.0,1,0.0,1.0,832.0,427.0,3.0,1998.0,1718.0,3,10141.0,74.0,40.0,94.0,5,7,832.0,1998,1998,185000
1086.0,0.0,3.0,1,320.0,5.0,404.0,490.0,1.0,1989.0,1086.0,3,10200.0,85.0,104.0,0.0,7,5,1086.0,1954,2003,144900
840.0,765.0,3.0,1,0.0,1.0,840.0,379.0,1.0,1915.0,1605.0,3,5790.0,60.0,0.0,0.0,6,3,840.0,1915,1950,107400
526.0,462.0,2.0,4,462.0,6.0,0.0,297.0,1.0,1973.0,988.0,3,1596.0,21.0,0.0,101.0,5,4,462.0,1973,1973,91000
952.0,0.0,2.0,1,228.0,5.0,724.0,283.0,1.0,1956.0,952.0,3,8475.0,69.0,0.0,0.0,7,4,952.0,1956,1956,135750
1072.0,213.0,2.0,1,336.0,4.0,295.0,240.0,1.0,1948.0,1285.0,3,8635.0,50.0,0.0,0.0,5,5,672.0,1948,2001,127000
1768.0,0.0,4.0,1,0.0,1.0,1768.0,0.0,0.0,1980.0,1768.0,3,10778.0,72.0,0.0,0.0,5,4,1768.0,1968,1968,136500
682.0,548.0,2.0,1,0.0,1.0,440.0,440.0,1.0,1966.0,1230.0,3,10440.0,60.0,0.0,0.0,6,5,440.0,1910,1981,110000
1182.0,960.0,3.0,1,448.0,3.0,448.0,509.0,3.0,1968.0,2142.0,4,13000.0,100.0,576.0,72.0,6,6,896.0,1968,1968,193500
1337.0,0.0,2.0,1,1201.0,6.0,36.0,405.0,3.0,1998.0,1337.0,3,4500.0,32.0,443.0,199.0,5,6,1237.0,1998,1998,153500
1563.0,0.0,3.0,1,33.0,6.0,1530.0,758.0,2.0,2007.0,1563.0,4,10206.0,78.0,468.0,99.0,5,8,1563.0,2007,2007,245000
1065.0,0.0,3.0,1,0.0,1.0,1065.0,461.0,1.0,1974.0,1065.0,3,8892.0,80.0,66.0,0.0,5,5,1065.0,1960,1960,126500
804.0,670.0,3.0,1,0.0,1.0,384.0,400.0,3.0,1995.0,1474.0,3,8530.0,69.0,22.0,72.0,5,7,384.0,1995,1996,168500
1301.0,1116.0,4.0,1,0.0,1.0,1288.0,462.0,1.0,1991.0,2417.0,4,16059.0,121.0,284.0,82.0,5,8,1288.0,1991,1992,260000
684.0,876.0,3.0,3,0.0,1.0,684.0,400.0,3.0,2005.0,1560.0,4,11911.0,122.0,0.0,38.0,5,6,684.0,2005,2005,174000
612.0,612.0,3.0,3,0.0,1.0,612.0,528.0,2.0,2009.0,1224.0,4,3951.0,40.0,76.0,234.0,5,6,612.0,2009,2009,164500
1013.0,0.0,2.0,1,0.0,1.0,1013.0,0.0,0.0,1980.0,1526.0,2,8470.0,105.0,0.0,0.0,2,3,1013.0,1915,1982,85000
990.0,0.0,3.0,1,588.0,4.0,402.0,0.0,0.0,1980.0,990.0,3,8070.0,60.0,0.0,0.0,5,4,990.0,1994,1995,123600
1040.0,0.0,2.0,0,0.0,4.0,0.0,420.0,1.0,1950.0,1040.0,3,7200.0,60.0,0.0,29.0,5,4,0.0,1950,1950,109900
1235.0,0.0,2.0,1,600.0,3.0,635.0,480.0,1.0,1961.0,1235.0,3,8500.0,85.0,203.0,0.0,3,5,1235.0,1961,1961,98600
964.0,0.0,2.0,1,713.0,5.0,163.0,432.0,1.0,1921.0,964.0,3,13360.0,80.0,0.0,0.0,7,5,876.0,1921,2006,163500
1260.0,1031.0,4.0,2,1046.0,3.0,168.0,506.0,1.0,1900.0,2291.0,3,7200.0,60.0,0.0,0.0,6,6,1214.0,1910,1998,133900
905.0,881.0,3.0,1,648.0,6.0,176.0,684.0,2.0,1997.0,1786.0,4,9337.0,69.0,0.0,162.0,5,6,824.0,1997,1997,204750
680.0,790.0,3.0,1,310.0,4.0,370.0,420.0,3.0,1993.0,1470.0,3,9765.0,69.0,68.0,63.0,8,6,680.0,1993,1993,185000
1588.0,0.0,3.0,3,1162.0,5.0,426.0,472.0,2.0,1999.0,1588.0,4,10264.0,78.0,183.0,29.0,5,7,1588.0,1999,1999,214000
960.0,0.0,3.0,1,520.0,3.0,440.0,432.0,3.0,1965.0,960.0,3,10921.0,73.0,48.0,0.0,5,4,960.0,1965,1965,94750
835.0,0.0,2.0,1,108.0,5.0,350.0,366.0,1.0,1920.0,835.0,3,10625.0,85.0,0.0,0.0,5,5,458.0,1920,1950,83000
1225.0,0.0,3.0,1,569.0,5.0,381.0,0.0,0.0,1980.0,1225.0,3,9320.0,77.0,0.0,0.0,5,4,950.0,1959,1959,128950
1610.0,0.0,3.0,2,1200.0,5.0,410.0,480.0,2.0,1977.0,1610.0,4,10603.0,69.0,28.0,68.0,7,6,1610.0,1977,2001,205000
977.0,755.0,3.0,1,0.0,4.0,741.0,476.0,3.0,1985.0,1732.0,4,9206.0,77.0,336.0,46.0,5,6,741.0,1985,1985,178000
1535.0,0.0,4.0,0,0.0,0.0,0.0,410.0,1.0,1979.0,1535.0,3,7018.0,64.0,0.0,0.0,5,5,0.0,1979,1979,118964
1226.0,0.0,3.0,1,0.0,1.0,1226.0,740.0,2.0,2009.0,1226.0,4,10402.0,94.0,0.0,36.0,5,7,1226.0,2009,2009,198900
1226.0,592.0,4.0,1,224.0,2.0,816.0,240.0,2.0,1951.0,1818.0,3,7758.0,69.0,600.0,0.0,4,7,1040.0,1931,1950,169500
1053.0,0.0,3.0,1,0.0,1.0,1053.0,648.0,2.0,2003.0,1992.0,4,9375.0,75.0,768.0,45.0,5,8,1053.0,2003,2004,250000
1047.0,0.0,2.0,1,0.0,1.0,641.0,273.0,1.0,1954.0,1047.0,3,10800.0,60.0,0.0,0.0,7,4,641.0,1885,1995,100000
789.0,0.0,2.0,1,104.0,5.0,516.0,250.0,1.0,1948.0,789.0,3,6000.0,50.0,0.0,0.0,5,5,789.0,1948,1950,115000
997.0,0.0,3.0,1,0.0,1.0,793.0,0.0,0.0,1980.0,1517.0,2,8500.0,85.0,0.0,0.0,7,5,793.0,1919,2005,115000
1844.0,0.0,3.0,1,705.0,4.0,1139.0,546.0,2.0,1977.0,1844.0,3,11751.0,105.0,480.0,122.0,6,6,1844.0,1977,1977,190000
1216.0,639.0,4.0,1,444.0,3.0,550.0,325.0,1.0,1954.0,1855.0,3,9525.0,75.0,0.0,0.0,4,6,994.0,1954,1972,136900
774.0,656.0,3.0,1,250.0,6.0,134.0,400.0,3.0,2000.0,1430.0,3,7750.0,69.0,0.0,0.0,5,7,384.0,2000,2000,180000
1282.0,1414.0,4.0,3,984.0,6.0,280.0,792.0,2.0,2007.0,2696.0,5,9965.0,77.0,220.0,184.0,5,7,1264.0,2007,2007,383970
2259.0,0.0,3.0,2,35.0,4.0,905.0,450.0,1.0,1953.0,2259.0,4,21000.0,69.0,184.0,120.0,5,6,1809.0,1953,1953,217000
1436.0,884.0,3.0,1,774.0,5.0,104.0,180.0,1.0,1945.0,2320.0,4,7259.0,61.0,0.0,0.0,8,6,1028.0,1945,2002,259500
729.0,729.0,2.0,1,419.0,6.0,310.0,440.0,1.0,1999.0,1458.0,3,3230.0,34.0,1129.0,32.0,5,6,729.0,1999,1999,176000
1092.0,0.0,3.0,1,170.0,2.0,252.0,288.0,1.0,1962.0,1092.0,3,11616.0,69.0,116.0,20.0,5,5,1092.0,1962,1962,139000
1125.0,0.0,2.0,1,0.0,1.0,1125.0,430.0,1.0,2007.0,1125.0,3,8536.0,74.0,0.0,64.0,5,5,1125.0,2006,2007,155000
1699.0,1523.0,5.0,2,1470.0,6.0,203.0,594.0,1.0,1990.0,3222.0,4,12376.0,90.0,0.0,0.0,5,7,1673.0,1990,1990,320000
728.0,728.0,3.0,1,0.0,1.0,728.0,390.0,3.0,2005.0,1456.0,4,8461.0,65.0,0.0,24.0,5,6,728.0,2005,2006,163990
988.0,0.0,1.0,4,938.0,5.0,0.0,540.0,1.0,1969.0,988.0,3,21453.0,69.0,0.0,130.0,5,6,938.0,1969,1969,180000
772.0,351.0,3.0,1,0.0,1.0,732.0,264.0,1.0,1979.0,1123.0,3,6060.0,50.0,0.0,0.0,5,4,732.0,1939,1950,100000
1080.0,0.0,3.0,1,570.0,4.0,510.0,288.0,1.0,1958.0,1080.0,3,9464.0,75.0,135.0,0.0,7,6,1080.0,1958,1958,136000
1199.0,0.0,2.0,1,300.0,6.0,899.0,530.0,2.0,1993.0,1199.0,4,7892.0,55.0,0.0,63.0,5,6,1199.0,1993,1993,153900
1586.0,0.0,3.0,1,0.0,4.0,1362.0,435.0,1.0,1979.0,1586.0,3,17043.0,48.0,0.0,0.0,5,6,1362.0,1979,1998,181000
520.0,0.0,2.0,3,490.0,6.0,30.0,0.0,2.0,1980.0,754.0,3,6780.0,60.0,0.0,0.0,8,6,520.0,1935,1982,84500
958.0,0.0,2.0,1,120.0,5.0,958.0,440.0,2.0,1977.0,958.0,3,4928.0,69.0,0.0,205.0,5,6,1078.0,1976,1976,128000
840.0,0.0,3.0,1,116.0,2.0,556.0,0.0,0.0,1980.0,840.0,3,4388.0,55.0,0.0,0.0,7,5,672.0,1930,1950,87000
660.0,688.0,3.0,1,512.0,4.0,148.0,453.0,2.0,1966.0,1348.0,3,7590.0,69.0,266.0,108.0,5,6,660.0,1966,1966,155000
1053.0,0.0,3.0,1,567.0,3.0,413.0,750.0,2.0,1998.0,1053.0,5,8973.0,69.0,85.0,80.0,7,5,1008.0,1958,1991,150000
1216.0,941.0,4.0,1,445.0,3.0,479.0,487.0,2.0,1966.0,2157.0,4,14200.0,88.0,309.0,66.0,6,7,924.0,1966,1966,226000
1022.0,1032.0,3.0,1,695.0,6.0,297.0,390.0,2.0,2000.0,2054.0,4,12224.0,69.0,40.0,48.0,5,6,992.0,2000,2000,244000
1327.0,0.0,3.0,1,405.0,3.0,658.0,624.0,1.0,1974.0,1327.0,4,7388.0,75.0,0.0,0.0,6,5,1063.0,1959,2002,150750
1296.0,0.0,2.0,1,1005.0,6.0,262.0,471.0,3.0,2001.0,1296.0,4,6853.0,69.0,136.0,25.0,5,8,1267.0,2001,2002,220000
1721.0,0.0,3.0,1,570.0,3.0,891.0,440.0,2.0,1968.0,1721.0,3,10335.0,78.0,0.0,96.0,6,5,1461.0,1968,1993,180000
1682.0,0.0,3.0,1,0.0,1.0,1304.0,530.0,1.0,1970.0,1682.0,3,10400.0,80.0,288.0,0.0,6,7,1304.0,1970,1970,174000
1214.0,0.0,3.0,1,695.0,4.0,519.0,318.0,2.0,1967.0,1214.0,3,10355.0,69.0,196.0,111.0,5,5,1214.0,1967,1967,143000
1959.0,0.0,5.0,1,0.0,1.0,1907.0,766.0,1.0,1989.0,1959.0,3,11070.0,82.0,70.0,0.0,5,7,1907.0,1988,1989,171000
1004.0,848.0,3.0,2,668.0,6.0,336.0,660.0,3.0,1999.0,1852.0,4,9066.0,73.0,320.0,106.0,5,8,1004.0,1999,2000,230000
928.0,836.0,3.0,1,821.0,6.0,107.0,470.0,2.0,1997.0,1764.0,4,15426.0,65.0,0.0,99.0,5,6,928.0,1997,1997,231500
864.0,0.0,3.0,1,432.0,5.0,432.0,0.0,0.0,1980.0,864.0,3,10500.0,70.0,0.0,0.0,5,4,864.0,1971,1971,115000
1734.0,0.0,3.0,3,1300.0,6.0,434.0,660.0,2.0,2005.0,1734.0,4,11645.0,78.0,0.0,24.0,5,7,1734.0,2005,2005,260000
910.0,0.0,4.0,1,507.0,3.0,403.0,720.0,1.0,2000.0,1385.0,3,8520.0,71.0,0.0,0.0,4,5,910.0,1952,1952,166000
1501.0,0.0,3.0,4,679.0,6.0,811.0,577.0,2.0,1999.0,1501.0,4,10335.0,78.0,183.0,29.0,5,7,1490.0,1999,1999,204000
1728.0,0.0,6.0,1,1332.0,3.0,396.0,504.0,1.0,1963.0,1728.0,3,9100.0,70.0,336.0,0.0,5,5,1728.0,1963,1963,125000
970.0,739.0,3.0,1,0.0,1.0,970.0,380.0,1.0,2004.0,1709.0,4,2522.0,24.0,50.0,40.0,5,6,970.0,2004,2006,130000
875.0,0.0,2.0,1,209.0,4.0,506.0,180.0,1.0,1931.0,875.0,3,6120.0,51.0,0.0,0.0,7,5,715.0,1931,1993,105000
884.0,1151.0,3.0,1,0.0,1.0,884.0,434.0,3.0,2001.0,2035.0,4,9505.0,69.0,180.0,48.0,5,7,884.0,2001,2001,222500
1080.0,0.0,3.0,1,680.0,6.0,400.0,0.0,0.0,1980.0,1080.0,4,7500.0,63.0,120.0,0.0,5,7,1080.0,2004,2005,141000
896.0,448.0,3.0,1,0.0,1.0,896.0,240.0,2.0,1936.0,1344.0,3,6240.0,69.0,0.0,114.0,4,5,896.0,1936,1950,115000
969.0,0.0,3.0,3,716.0,4.0,253.0,440.0,1.0,1975.0,969.0,3,10356.0,120.0,0.0,0.0,6,5,969.0,1975,1975,122000
1710.0,0.0,2.0,4,1400.0,4.0,310.0,866.0,2.0,2007.0,1710.0,4,13891.0,107.0,436.0,102.0,5,8,1710.0,2007,2008,372402
1097.0,896.0,4.0,1,416.0,3.0,409.0,495.0,2.0,1971.0,1993.0,3,14803.0,69.0,252.0,66.0,5,6,825.0,1971,1971,190000
1252.0,0.0,1.0,4,429.0,4.0,93.0,564.0,2.0,1960.0,1252.0,3,13500.0,69.0,0.0,0.0,7,6,1602.0,1960,1975,235000
1200.0,0.0,4.0,1,0.0,1.0,1200.0,312.0,1.0,1923.0,1200.0,3,11340.0,84.0,0.0,0.0,5,6,1200.0,1923,1950,125000
572.0,524.0,2.0,1,0.0,1.0,572.0,0.0,0.0,1980.0,1096.0,3,9600.0,60.0,0.0,8.0,5,6,572.0,1924,1950,79000
1040.0,0.0,2.0,0,0.0,0.0,0.0,625.0,1.0,1950.0,1040.0,3,7200.0,60.0,0.0,0.0,7,5,0.0,1950,1950,109500
774.0,1194.0,4.0,1,0.0,4.0,774.0,680.0,3.0,2009.0,1968.0,5,12003.0,92.0,84.0,75.0,5,8,774.0,2009,2010,269500
991.0,956.0,3.0,1,222.0,6.0,769.0,678.0,2.0,2004.0,1947.0,4,12552.0,100.0,0.0,136.0,5,7,991.0,2004,2005,254900
1392.0,1070.0,4.0,2,57.0,6.0,1335.0,576.0,2.0,2006.0,2462.0,4,19378.0,134.0,456.0,132.0,5,7,1392.0,2005,2006,320000
1232.0,0.0,3.0,1,660.0,4.0,572.0,516.0,1.0,1984.0,1232.0,3,11120.0,69.0,0.0,0.0,6,6,1232.0,1984,1984,162500
1572.0,1096.0,3.0,3,1016.0,6.0,556.0,726.0,3.0,2003.0,2668.0,5,13688.0,110.0,664.0,0.0,5,9,1572.0,2003,2004,412500
1541.0,0.0,3.0,2,1201.0,4.0,340.0,532.0,2.0,2005.0,1541.0,4,12182.0,95.0,226.0,70.0,5,7,1541.0,2005,2005,220000
882.0,0.0,1.0,1,0.0,1.0,882.0,0.0,0.0,1980.0,882.0,3,5500.0,55.0,0.0,0.0,6,4,882.0,1956,1956,103200
1149.0,467.0,3.0,2,370.0,2.0,779.0,216.0,1.0,1926.0,1616.0,4,5400.0,40.0,0.0,0.0,7,6,1149.0,1926,2004,152000
808.0,547.0,4.0,1,351.0,5.0,112.0,0.0,0.0,1980.0,1355.0,3,10106.0,62.0,0.0,0.0,7,5,644.0,1940,1999,127500
1867.0,0.0,2.0,1,379.0,2.0,470.0,303.0,3.0,1955.0,1867.0,3,10708.0,69.0,0.0,0.0,5,5,1617.0,1955,1993,190000
